,OFFENSE_CODE_GROUP,DISTRICT,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long
352266,Larceny,C6,2016,3,4,17,42.347972399999996,-71.07849582
352299,Larceny,B3,2016,3,4,15,42.29307889,-71.08054237
352311,Larceny,D4,2016,3,4,15,42.34442266,-71.09833083
352312,Larceny,A1,2016,3,4,10,42.35602373,-71.06177615
352324,Larceny,D14,2016,3,4,14,42.35595391,-71.13852468
352325,Larceny,E18,2016,3,4,15,42.33744152,-71.10428096
352336,Larceny,C6,2016,3,4,13,42.32552765,-71.05984052
352339,Larceny,D4,2016,3,4,14,42.34285014,-71.06516235
352362,Larceny,B2,2016,3,4,12,42.2518944,-71.1253531
352365,Larceny,D4,2016,1,4,13,42.35023814,-71.08356549
352392,Larceny,D4,2016,3,4,10,42.35059717,-71.07881031
352405,Larceny,D4,2016,3,4,10,42.35176179,-71.07452168
352428,Larceny,C11,2016,3,2,11,42.29736576,-71.07062879
352435,Larceny,E13,2016,3,1,20,42.3212743,-71.11030469
352450,Larceny,E18,2016,8,5,20,42.23578713,-71.13034026
352482,Larceny,C6,2016,3,3,18,42.32995513,-71.05369679
352503,Larceny,E18,2016,3,3,19,42.28314714,-71.11374152
352517,Larceny,D4,2016,3,3,18,42.34862382,-71.08277637
352518,Larceny,C6,2016,3,3,17,42.347972399999996,-71.07849582
352520,Larceny,D14,2015,12,3,12,42.35301119,-71.13261451
352534,Larceny,A15,2016,3,3,16,42.35521625,-71.06012863
352535,Larceny,D14,2016,3,1,12,42.35825785,-71.12560096
352545,Larceny,E5,2016,3,3,16,42.28344599,-71.15611605
352552,Larceny,A1,2016,3,3,17,42.35428377,-71.06380404
352566,Larceny,D4,2016,3,3,15,42.335435100000005,-71.07840204
352579,Larceny,A1,2016,3,3,14,42.35648631,-71.05928145
352586,Larceny,D4,2016,3,3,15,42.34999733,-71.08103440000001
352590,Larceny,D4,2016,3,2,14,42.34044966,-71.08845935
352604,Larceny,B2,2016,3,2,14,42.32720581,-71.09414427
352632,Larceny,B2,2016,3,4,18,42.3346705,-71.088934
352640,Larceny,D4,2016,3,5,22,42.34897002,-71.07689477
352644,Larceny,B3,2016,3,3,12,42.30316091,-71.08515552
352645,Larceny,B3,2016,3,3,12,42.30316091,-71.08515552
352648,Larceny,A15,2016,3,3,10,42.3773854,-71.05933256
352670,Larceny,D4,2016,3,3,18,42.34174227,-71.07011004
352671,Larceny,B2,2016,3,2,17,42.30896999,-71.08284839
352674,Larceny,D4,2016,3,7,11,42.3503787,-71.07626098
352676,Larceny,A1,2016,3,3,10,42.352311900000004,-71.06370509999999
352691,Larceny,D4,2016,3,3,6,42.33311189,-71.0727637
352695,Larceny,A1,2016,3,2,8,42.30060543,-71.06126785
352696,Larceny,B2,2016,3,3,8,42.33076942,-71.07766482
352779,Larceny,D4,2016,3,2,20,42.34091586,-71.08771531
